"pwsid","monthAbb","date","demand_mgd","n_days","daily_demand","month","mean_demand","year"
"nc0368010","Oct",2014-10-01,7.18,31,0.23,10,7.568,2014
"nc0368010","Nov",2014-11-01,6.58,30,0.22,11,6.422,2014
"nc0368010","Dec",2014-12-01,6.05,31,0.2,12,5.546,2014
"nc0368010","Jan",2015-01-01,6.56,31,0.21,1,5.641,2015
"nc0368010","Feb",2015-02-01,6.76,28,0.24,2,5.805,2015
"nc0368010","Mar",2015-03-01,6.41,31,0.21,3,5.948,2015
"nc0368010","Apr",2015-04-01,6.49,30,0.22,4,6.599,2015
"nc0368010","May",2015-05-01,6.81,31,0.22,5,7.009,2015
"nc0368010","Jun",2015-06-01,7.38,30,0.25,6,7.951,2015
"nc0368010","Jul",2015-07-01,6.94,31,0.22,7,8.191,2015
"nc0368010","Aug",2015-08-01,7.51,31,0.24,8,7.983,2015
"nc0368010","Sep",2015-09-01,7.26,30,0.24,9,8.126,2015
"nc0368010","Oct",2015-10-01,6.83,31,0.22,10,7.568,2015
"nc0368010","Nov",2015-11-01,6.29,30,0.21,11,6.422,2015
"nc0368010","Dec",2015-12-01,5.72,31,0.18,12,5.546,2015
"nc0368010","Jan",2016-01-01,6.1,31,0.2,1,5.641,2016
"nc0368010","Feb",2016-02-01,6.34,29,0.22,2,5.805,2016
"nc0368010","Mar",2016-03-01,6.28,31,0.2,3,5.948,2016
"nc0368010","Apr",2016-04-01,6.88,30,0.23,4,6.599,2016
"nc0368010","May",2016-05-01,6.12,31,0.2,5,7.009,2016
"nc0368010","Jun",2016-06-01,6.85,30,0.23,6,7.951,2016
"nc0368010","Jul",2016-07-01,6.75,31,0.22,7,8.191,2016
"nc0368010","Aug",2016-08-01,7.17,31,0.23,8,7.983,2016
"nc0368010","Sep",2016-09-01,7.38,30,0.25,9,8.126,2016
"nc0368010","Oct",2016-10-01,7.04,31,0.23,10,7.568,2016
"nc0368010","Nov",2016-11-01,6.74,30,0.22,11,6.422,2016
"nc0368010","Dec",2016-12-01,5.95,31,0.19,12,5.546,2016
"nc0368010","Jan",2017-01-01,6.35,31,0.2,1,5.641,2017
"nc0368010","Feb",2017-02-01,5.97,28,0.21,2,5.805,2017
"nc0368010","Mar",2017-03-01,6.23,31,0.2,3,5.948,2017
"nc0368010","Apr",2017-04-01,6.63,30,0.22,4,6.599,2017
"nc0368010","May",2017-05-01,6.52,31,0.21,5,7.009,2017
"nc0368010","Jun",2017-06-01,6.9,30,0.23,6,7.951,2017
"nc0368010","Jul",2017-07-01,6.96,31,0.22,7,8.191,2017
"nc0368010","Aug",2017-08-01,7.07,31,0.23,8,7.983,2017
"nc0368010","Sep",2017-09-01,8.68,30,0.29,9,8.126,2017
"nc0368010","Oct",2017-10-01,10.64,31,0.34,10,7.568,2017
"nc0368010","Nov",2017-11-01,6.65,30,0.22,11,6.422,2017
"nc0368010","Dec",2017-12-01,6.19,31,0.2,12,5.546,2017
"nc0368010","Jan",2018-01-01,3.3366,31,0.11,1,5.641,2018
"nc0368010","Feb",2018-02-01,3.6058,28,0.13,2,5.805,2018
"nc0368010","Mar",2018-03-01,4.2713,31,0.14,3,5.948,2018
"nc0368010","Apr",2018-04-01,5.5556,30,0.19,4,6.599,2018
"nc0368010","May",2018-05-01,7.2768,31,0.23,5,7.009,2018
"nc0368010","Jun",2018-06-01,9.5608,30,0.32,6,7.951,2018
"nc0368010","Jul",2018-07-01,10.3108,31,0.33,7,8.191,2018
"nc0368010","Aug",2018-08-01,9.6831,31,0.31,8,7.983,2018
"nc0368010","Sep",2018-09-01,8.9841,30,0.3,9,8.126,2018
"nc0368010","Oct",2018-10-01,7.1197,31,0.23,10,7.568,2018
"nc0368010","Nov",2018-11-01,4.7264,30,0.16,11,6.422,2018
"nc0368010","Dec",2018-12-01,3.2469,31,0.1,12,5.546,2018
"nc0368010","Jan",2019-01-01,3.2237,31,0.1,1,5.641,2019
"nc0368010","Feb",2019-02-01,3.4929,28,0.12,2,5.805,2019
"nc0368010","Mar",2019-03-01,4.1584,31,0.13,3,5.948,2019
"nc0368010","Apr",2019-04-01,5.4427,30,0.18,4,6.599,2019
"nc0368010","May",2019-05-01,7.1639,31,0.23,5,7.009,2019
"nc0368010","Jun",2019-06-01,9.4479,30,0.31,6,7.951,2019
"nc0368010","Jul",2019-07-01,10.1979,31,0.33,7,8.191,2019
"nc0368010","Aug",2019-08-01,9.5702,31,0.31,8,7.983,2019
"nc0368010","Sep",2019-09-01,8.8712,30,0.3,9,8.126,2019
"nc0368010","Oct",2019-10-01,7.0068,31,0.23,10,7.568,2019
"nc0368010","Nov",2019-11-01,4.6136,30,0.15,11,6.422,2019
"nc0368010","Dec",2019-12-01,3.134,31,0.1,12,5.546,2019
"nc0368010","Jan",2020-01-01,3.1108,31,0.1,1,5.641,2020
"nc0368010","Feb",2020-02-01,3.38,29,0.12,2,5.805,2020
"nc0368010","Mar",2020-03-01,4.0455,31,0.13,3,5.948,2020
"nc0368010","Apr",2020-04-01,5.3298,30,0.18,4,6.599,2020
"nc0368010","May",2020-05-01,7.051,31,0.23,5,7.009,2020
"nc0368010","Jun",2020-06-01,9.335,30,0.31,6,7.951,2020
"nc0368010","Jul",2020-07-01,10.085,31,0.33,7,8.191,2020
"nc0368010","Aug",2020-08-01,9.4574,31,0.31,8,7.983,2020
"nc0368010","Sep",2020-09-01,8.7583,30,0.29,9,8.126,2020
"nc0368010","Oct",2020-10-01,6.8939,31,0.22,10,7.568,2020
"nc0392010","Jan",2009-01-01,41.4,31,1.34,1,44.567,2009
"nc0392010","Feb",2009-02-01,41.9,28,1.5,2,44.902,2009
"nc0392010","Mar",2009-03-01,42.2,31,1.36,3,45.63,2009
"nc0392010","Apr",2009-04-01,44.6,30,1.49,4,47.687,2009
"nc0392010","May",2009-05-01,48.1,31,1.55,5,50.434,2009
"nc0392010","Jun",2009-06-01,50.9,30,1.7,6,53.842,2009
"nc0392010","Jul",2009-07-01,54.65,31,1.76,7,55.721,2009
"nc0392010","Aug",2009-08-01,52.77,31,1.7,8,54.718,2009
"nc0392010","Sep",2009-09-01,49.9,30,1.66,9,53.534,2009
"nc0392010","Oct",2009-10-01,47.04,31,1.52,10,51.251,2009
"nc0392010","Nov",2009-11-01,42.7,30,1.42,11,46.725,2009
"nc0392010","Dec",2009-12-01,41.2,31,1.33,12,44.124,2009
"nc0392010","Jan",2010-01-01,41.6,31,1.34,1,44.567,2010
"nc0392010","Feb",2010-02-01,42.5,28,1.52,2,44.902,2010
"nc0392010","Mar",2010-03-01,41.8,31,1.35,3,45.63,2010
"nc0392010","Apr",2010-04-01,46.45,30,1.55,4,47.687,2010
"nc0392010","May",2010-05-01,51.9,31,1.67,5,50.434,2010
"nc0392010","Jun",2010-06-01,57.1,30,1.9,6,53.842,2010
"nc0392010","Jul",2010-07-01,58.3,31,1.88,7,55.721,2010
"nc0392010","Aug",2010-08-01,53.8,31,1.74,8,54.718,2010
"nc0392010","Sep",2010-09-01,57.2,30,1.91,9,53.534,2010
"nc0392010","Oct",2010-10-01,52.3,31,1.69,10,51.251,2010
"nc0392010","Nov",2010-11-01,45.1,30,1.5,11,46.725,2010
"nc0392010","Dec",2010-12-01,41.7,31,1.35,12,44.124,2010
"nc0392010","Jan",2011-01-01,41.5,31,1.34,1,44.567,2011
"nc0392010","Feb",2011-02-01,42,28,1.5,2,44.902,2011
"nc0392010","Mar",2011-03-01,42.7,31,1.38,3,45.63,2011
"nc0392010","Apr",2011-04-01,44.3,30,1.48,4,47.687,2011
"nc0392010","May",2011-05-01,48.2,31,1.55,5,50.434,2011
"nc0392010","Jun",2011-06-01,58.4,30,1.95,6,53.842,2011
"nc0392010","Jul",2011-07-01,58.7,31,1.89,7,55.721,2011
"nc0392010","Aug",2011-08-01,54.7,31,1.76,8,54.718,2011
"nc0392010","Sep",2011-09-01,50.9,30,1.7,9,53.534,2011
"nc0392010","Oct",2011-10-01,49,31,1.58,10,51.251,2011
"nc0392010","Nov",2011-11-01,43,30,1.43,11,46.725,2011
"nc0392010","Dec",2011-12-01,41.3,31,1.33,12,44.124,2011
"nc0392010","Jan",2012-01-01,43.29,31,1.4,1,44.567,2012
"nc0392010","Feb",2012-02-01,44.42,29,1.53,2,44.902,2012
"nc0392010","Mar",2012-03-01,44.65,31,1.44,3,45.63,2012
"nc0392010","Apr",2012-04-01,47.06,30,1.57,4,47.687,2012
"nc0392010","May",2012-05-01,51.08,31,1.65,5,50.434,2012
"nc0392010","Jun",2012-06-01,55.16,30,1.84,6,53.842,2012
"nc0392010","Jul",2012-07-01,57.08,31,1.84,7,55.721,2012
"nc0392010","Aug",2012-08-01,53.24,31,1.72,8,54.718,2012
"nc0392010","Sep",2012-09-01,50.61,30,1.69,9,53.534,2012
"nc0392010","Oct",2012-10-01,48.44,31,1.56,10,51.251,2012
"nc0392010","Nov",2012-11-01,45.3,30,1.51,11,46.725,2012
"nc0392010","Dec",2012-12-01,43.26,31,1.4,12,44.124,2012
"nc0392010","Jan",2013-01-01,41.75,31,1.35,1,44.567,2013
"nc0392010","Feb",2013-02-01,41.92,28,1.5,2,44.902,2013
"nc0392010","Mar",2013-03-01,44.13,31,1.42,3,45.63,2013
"nc0392010","Apr",2013-04-01,44.87,30,1.5,4,47.687,2013
"nc0392010","May",2013-05-01,46.84,31,1.51,5,50.434,2013
"nc0392010","Jun",2013-06-01,49.71,30,1.66,6,53.842,2013
"nc0392010","Jul",2013-07-01,49.05,31,1.58,7,55.721,2013
"nc0392010","Aug",2013-08-01,51.18,31,1.65,8,54.718,2013
"nc0392010","Sep",2013-09-01,51.53,30,1.72,9,53.534,2013
"nc0392010","Oct",2013-10-01,49.94,31,1.61,10,51.251,2013
"nc0392010","Nov",2013-11-01,45.14,30,1.5,11,46.725,2013
"nc0392010","Dec",2013-12-01,42.37,31,1.37,12,44.124,2013
"nc0392010","Jan",2014-01-01,43.15,31,1.39,1,44.567,2014
"nc0392010","Feb",2014-02-01,44.07,28,1.57,2,44.902,2014
"nc0392010","Mar",2014-03-01,44.93,31,1.45,3,45.63,2014
"nc0392010","Apr",2014-04-01,44.92,30,1.5,4,47.687,2014
"nc0392010","May",2014-05-01,50.71,31,1.64,5,50.434,2014
"nc0392010","Jun",2014-06-01,54.73,30,1.82,6,53.842,2014
"nc0392010","Jul",2014-07-01,55.77,31,1.8,7,55.721,2014
"nc0392010","Aug",2014-08-01,52.67,31,1.7,8,54.718,2014
"nc0392010","Sep",2014-09-01,53.36,30,1.78,9,53.534,2014
"nc0392010","Oct",2014-10-01,51.82,31,1.67,10,51.251,2014
"nc0392010","Nov",2014-11-01,47,30,1.57,11,46.725,2014
"nc0392010","Dec",2014-12-01,44.55,31,1.44,12,44.124,2014
"nc0392010","Jan",2015-01-01,44.86,31,1.45,1,44.567,2015
"nc0392010","Feb",2015-02-01,46.38,28,1.66,2,44.902,2015
"nc0392010","Mar",2015-03-01,46.85,31,1.51,3,45.63,2015
"nc0392010","Apr",2015-04-01,46.7,30,1.56,4,47.687,2015
"nc0392010","May",2015-05-01,52.02,31,1.68,5,50.434,2015
"nc0392010","Jun",2015-06-01,46.86,30,1.56,6,53.842,2015
"nc0392010","Jul",2015-07-01,56.24,31,1.81,7,55.721,2015
"nc0392010","Aug",2015-08-01,58.65,31,1.89,8,54.718,2015
"nc0392010","Sep",2015-09-01,54.23,30,1.81,9,53.534,2015
"nc0392010","Oct",2015-10-01,51.59,31,1.66,10,51.251,2015
"nc0392010","Nov",2015-11-01,46.2,30,1.54,11,46.725,2015
"nc0392010","Dec",2015-12-01,43.14,31,1.39,12,44.124,2015
"nc0392010","Jan",2016-01-01,45.14,31,1.46,1,44.567,2016
"nc0392010","Feb",2016-02-01,44.52,29,1.54,2,44.902,2016
"nc0392010","Mar",2016-03-01,44.88,31,1.45,3,45.63,2016
"nc0392010","Apr",2016-04-01,47.23,30,1.57,4,47.687,2016
"nc0392010","May",2016-05-01,48.29,31,1.56,5,50.434,2016
"nc0392010","Jun",2016-06-01,54.8,30,1.83,6,53.842,2016
"nc0392010","Jul",2016-07-01,55.14,31,1.78,7,55.721,2016
"nc0392010","Aug",2016-08-01,58.4,31,1.88,8,54.718,2016
"nc0392010","Sep",2016-09-01,56.79,30,1.89,9,53.534,2016
"nc0392010","Oct",2016-10-01,52.99,31,1.71,10,51.251,2016
"nc0392010","Nov",2016-11-01,50.69,30,1.69,11,46.725,2016
"nc0392010","Dec",2016-12-01,46.23,31,1.49,12,44.124,2016
"nc0392010","Jan",2017-01-01,46.8,31,1.51,1,44.567,2017
"nc0392010","Feb",2017-02-01,44.99,28,1.61,2,44.902,2017
"nc0392010","Mar",2017-03-01,47.3,31,1.53,3,45.63,2017
"nc0392010","Apr",2017-04-01,54.15,30,1.8,4,47.687,2017
"nc0392010","May",2017-05-01,50.94,31,1.64,5,50.434,2017
"nc0392010","Jun",2017-06-01,54.46,30,1.82,6,53.842,2017
"nc0392010","Jul",2017-07-01,57.49,31,1.85,7,55.721,2017
"nc0392010","Aug",2017-08-01,56.85,31,1.83,8,54.718,2017
"nc0392010","Sep",2017-09-01,55.63,30,1.85,9,53.534,2017
"nc0392010","Oct",2017-10-01,55.23,31,1.78,10,51.251,2017
"nc0392010","Nov",2017-11-01,49.65,30,1.66,11,46.725,2017
"nc0392010","Dec",2017-12-01,45.38,31,1.46,12,44.124,2017
"nc0392010","Jan",2018-01-01,47.9733,31,1.55,1,44.567,2018
"nc0392010","Feb",2018-02-01,48.2425,28,1.72,2,44.902,2018
"nc0392010","Mar",2018-03-01,48.908,31,1.58,3,45.63,2018
"nc0392010","Apr",2018-04-01,50.1923,30,1.67,4,47.687,2018
"nc0392010","May",2018-05-01,51.9135,31,1.67,5,50.434,2018
"nc0392010","Jun",2018-06-01,54.1975,30,1.81,6,53.842,2018
"nc0392010","Jul",2018-07-01,54.9475,31,1.77,7,55.721,2018
"nc0392010","Aug",2018-08-01,54.3198,31,1.75,8,54.718,2018
"nc0392010","Sep",2018-09-01,53.6208,30,1.79,9,53.534,2018
"nc0392010","Oct",2018-10-01,51.7564,31,1.67,10,51.251,2018
"nc0392010","Nov",2018-11-01,49.3632,30,1.65,11,46.725,2018
"nc0392010","Dec",2018-12-01,47.8836,31,1.54,12,44.124,2018
"nc0392010","Jan",2019-01-01,48.4375,31,1.56,1,44.567,2019
"nc0392010","Feb",2019-02-01,48.7067,28,1.74,2,44.902,2019
"nc0392010","Mar",2019-03-01,49.3722,31,1.59,3,45.63,2019
"nc0392010","Apr",2019-04-01,50.6565,30,1.69,4,47.687,2019
"nc0392010","May",2019-05-01,52.3777,31,1.69,5,50.434,2019
"nc0392010","Jun",2019-06-01,54.6617,30,1.82,6,53.842,2019
"nc0392010","Jul",2019-07-01,55.4117,31,1.79,7,55.721,2019
"nc0392010","Aug",2019-08-01,54.784,31,1.77,8,54.718,2019
"nc0392010","Sep",2019-09-01,54.085,30,1.8,9,53.534,2019
"nc0392010","Oct",2019-10-01,52.2206,31,1.68,10,51.251,2019
"nc0392010","Nov",2019-11-01,49.8274,30,1.66,11,46.725,2019
"nc0392010","Dec",2019-12-01,48.3478,31,1.56,12,44.124,2019
"nc0392010","Jan",2020-01-01,48.9017,31,1.58,1,44.567,2020
"nc0392010","Feb",2020-02-01,49.1709,29,1.7,2,44.902,2020
"nc0392010","Mar",2020-03-01,49.8364,31,1.61,3,45.63,2020
"nc0392010","Apr",2020-04-01,51.1207,30,1.7,4,47.687,2020
"nc0392010","May",2020-05-01,52.8419,31,1.7,5,50.434,2020
"nc0392010","Jun",2020-06-01,55.1259,30,1.84,6,53.842,2020
"nc0392010","Jul",2020-07-01,55.8759,31,1.8,7,55.721,2020
"nc0392010","Aug",2020-08-01,55.2482,31,1.78,8,54.718,2020
"nc0392010","Sep",2020-09-01,54.5492,30,1.82,9,53.534,2020
"nc0392010","Oct",2020-10-01,52.6848,31,1.7,10,51.251,2020
"nc0392020","Jan",2009-01-01,13.33,31,0.43,1,14.335,2009
"nc0392020","Feb",2009-02-01,13.93,28,0.5,2,14.593,2009
"nc0392020","Mar",2009-03-01,14.66,31,0.47,3,15.482,2009
"nc0392020","Apr",2009-04-01,15.06,30,0.5,4,16.273,2009
"nc0392020","May",2009-05-01,16.97,31,0.55,5,18.082,2009
"nc0392020","Jun",2009-06-01,17.6,30,0.59,6,20.019,2009
"nc0392020","Jul",2009-07-01,19.47,31,0.63,7,20.651,2009
"nc0392020","Aug",2009-08-01,18.07,31,0.58,8,19.931,2009
"nc0392020","Sep",2009-09-01,18.32,30,0.61,9,19.413,2009
"nc0392020","Oct",2009-10-01,16.7,31,0.54,10,18.17,2009
"nc0392020","Nov",2009-11-01,14.42,30,0.48,11,15.905,2009
"nc0392020","Dec",2009-12-01,12.99,31,0.42,12,14.411,2009
"nc0392020","Jan",2010-01-01,13.05,31,0.42,1,14.335,2010
"nc0392020","Feb",2010-02-01,13.2,28,0.47,2,14.593,2010
"nc0392020","Mar",2010-03-01,14.29,31,0.46,3,15.482,2010
"nc0392020","Apr",2010-04-01,16.85,30,0.56,4,16.273,2010
"nc0392020","May",2010-05-01,19.01,31,0.61,5,18.082,2010
"nc0392020","Jun",2010-06-01,20.69,30,0.69,6,20.019,2010
"nc0392020","Jul",2010-07-01,21.67,31,0.7,7,20.651,2010
"nc0392020","Aug",2010-08-01,19.42,31,0.63,8,19.931,2010
"nc0392020","Sep",2010-09-01,21.51,30,0.72,9,19.413,2010
"nc0392020","Oct",2010-10-01,18.89,31,0.61,10,18.17,2010
"nc0392020","Nov",2010-11-01,15.43,30,0.51,11,15.905,2010
"nc0392020","Dec",2010-12-01,13.7,31,0.44,12,14.411,2010
"nc0392020","Jan",2011-01-01,13.79,31,0.44,1,14.335,2011
"nc0392020","Feb",2011-02-01,13.96,28,0.5,2,14.593,2011
"nc0392020","Mar",2011-03-01,15.58,31,0.5,3,15.482,2011
"nc0392020","Apr",2011-04-01,15.47,30,0.52,4,16.273,2011
"nc0392020","May",2011-05-01,17.83,31,0.58,5,18.082,2011
"nc0392020","Jun",2011-06-01,21.64,30,0.72,6,20.019,2011
"nc0392020","Jul",2011-07-01,21.17,31,0.68,7,20.651,2011
"nc0392020","Aug",2011-08-01,19.5,31,0.63,8,19.931,2011
"nc0392020","Sep",2011-09-01,17.4,30,0.58,9,19.413,2011
"nc0392020","Oct",2011-10-01,16.69,31,0.54,10,18.17,2011
"nc0392020","Nov",2011-11-01,14.05,30,0.47,11,15.905,2011
"nc0392020","Dec",2011-12-01,13.31,31,0.43,12,14.411,2011
"nc0392020","Jan",2012-01-01,13.34,31,0.43,1,14.335,2012
"nc0392020","Feb",2012-02-01,13.44,29,0.46,2,14.593,2012
"nc0392020","Mar",2012-03-01,14.79,31,0.48,3,15.482,2012
"nc0392020","Apr",2012-04-01,15.03,30,0.5,4,16.273,2012
"nc0392020","May",2012-05-01,17.02,31,0.55,5,18.082,2012
"nc0392020","Jun",2012-06-01,18.2,30,0.61,6,20.019,2012
"nc0392020","Jul",2012-07-01,19.42,31,0.63,7,20.651,2012
"nc0392020","Aug",2012-08-01,18.09,31,0.58,8,19.931,2012
"nc0392020","Sep",2012-09-01,17.05,30,0.57,9,19.413,2012
"nc0392020","Oct",2012-10-01,15.78,31,0.51,10,18.17,2012
"nc0392020","Nov",2012-11-01,14.66,30,0.49,11,15.905,2012
"nc0392020","Dec",2012-12-01,13.6,31,0.44,12,14.411,2012
"nc0392020","Jan",2013-01-01,13.24,31,0.43,1,14.335,2013
"nc0392020","Feb",2013-02-01,13.08,28,0.47,2,14.593,2013
"nc0392020","Mar",2013-03-01,14.4,31,0.46,3,15.482,2013
"nc0392020","Apr",2013-04-01,14.68,30,0.49,4,16.273,2013
"nc0392020","May",2013-05-01,15.71,31,0.51,5,18.082,2013
"nc0392020","Jun",2013-06-01,17.02,30,0.57,6,20.019,2013
"nc0392020","Jul",2013-07-01,17.31,31,0.56,7,20.651,2013
"nc0392020","Aug",2013-08-01,17.33,31,0.56,8,19.931,2013
"nc0392020","Sep",2013-09-01,17.73,30,0.59,9,19.413,2013
"nc0392020","Oct",2013-10-01,16.21,31,0.52,10,18.17,2013
"nc0392020","Nov",2013-11-01,13.98,30,0.47,11,15.905,2013
"nc0392020","Dec",2013-12-01,12.99,31,0.42,12,14.411,2013
"nc0392020","Jan",2014-01-01,13.29,31,0.43,1,14.335,2014
"nc0392020","Feb",2014-02-01,13.41,28,0.48,2,14.593,2014
"nc0392020","Mar",2014-03-01,14.42,31,0.47,3,15.482,2014
"nc0392020","Apr",2014-04-01,14.9,30,0.5,4,16.273,2014
"nc0392020","May",2014-05-01,17.03,31,0.55,5,18.082,2014
"nc0392020","Jun",2014-06-01,19.19,30,0.64,6,20.019,2014
"nc0392020","Jul",2014-07-01,18.61,31,0.6,7,20.651,2014
"nc0392020","Aug",2014-08-01,16.51,31,0.53,8,19.931,2014
"nc0392020","Sep",2014-09-01,16.69,30,0.56,9,19.413,2014
"nc0392020","Oct",2014-10-01,16.06,31,0.52,10,18.17,2014
"nc0392020","Nov",2014-11-01,14.3,30,0.48,11,15.905,2014
"nc0392020","Dec",2014-12-01,13.62,31,0.44,12,14.411,2014
"nc0392020","Jan",2015-01-01,13.81,31,0.45,1,14.335,2015
"nc0392020","Feb",2015-02-01,14.39,28,0.51,2,14.593,2015
"nc0392020","Mar",2015-03-01,14.74,31,0.48,3,15.482,2015
"nc0392020","Apr",2015-04-01,15.26,30,0.51,4,16.273,2015
"nc0392020","May",2015-05-01,18.36,31,0.59,5,18.082,2015
"nc0392020","Jun",2015-06-01,20.42,30,0.68,6,20.019,2015
"nc0392020","Jul",2015-07-01,19.87,31,0.64,7,20.651,2015
"nc0392020","Aug",2015-08-01,21.06,31,0.68,8,19.931,2015
"nc0392020","Sep",2015-09-01,18.96,30,0.63,9,19.413,2015
"nc0392020","Oct",2015-10-01,18.12,31,0.58,10,18.17,2015
"nc0392020","Nov",2015-11-01,16.01,30,0.53,11,15.905,2015
"nc0392020","Dec",2015-12-01,15.21,31,0.49,12,14.411,2015
"nc0392020","Jan",2016-01-01,15.52,31,0.5,1,14.335,2016
"nc0392020","Feb",2016-02-01,15.79,29,0.54,2,14.593,2016
"nc0392020","Mar",2016-03-01,16.72,31,0.54,3,15.482,2016
"nc0392020","Apr",2016-04-01,17.51,30,0.58,4,16.273,2016
"nc0392020","May",2016-05-01,17.96,31,0.58,5,18.082,2016
"nc0392020","Jun",2016-06-01,19.86,30,0.66,6,20.019,2016
"nc0392020","Jul",2016-07-01,20.4,31,0.66,7,20.651,2016
"nc0392020","Aug",2016-08-01,21.06,31,0.68,8,19.931,2016
"nc0392020","Sep",2016-09-01,19.95,30,0.66,9,19.413,2016
"nc0392020","Oct",2016-10-01,19.17,31,0.62,10,18.17,2016
"nc0392020","Nov",2016-11-01,17.79,30,0.59,11,15.905,2016
"nc0392020","Dec",2016-12-01,15.81,31,0.51,12,14.411,2016
"nc0392020","Jan",2017-01-01,16.25,31,0.52,1,14.335,2017
"nc0392020","Feb",2017-02-01,16.7,28,0.6,2,14.593,2017
"nc0392020","Mar",2017-03-01,16.98,31,0.55,3,15.482,2017
"nc0392020","Apr",2017-04-01,17.45,30,0.58,4,16.273,2017
"nc0392020","May",2017-05-01,18.87,31,0.61,5,18.082,2017
"nc0392020","Jun",2017-06-01,20.53,30,0.68,6,20.019,2017
"nc0392020","Jul",2017-07-01,22.57,31,0.73,7,20.651,2017
"nc0392020","Aug",2017-08-01,22.69,31,0.73,8,19.931,2017
"nc0392020","Sep",2017-09-01,22,30,0.73,9,19.413,2017
"nc0392020","Oct",2017-10-01,22.67,31,0.73,10,18.17,2017
"nc0392020","Nov",2017-11-01,20.89,30,0.7,11,15.905,2017
"nc0392020","Dec",2017-12-01,16.83,31,0.54,12,14.411,2017
"nc0392020","Jan",2018-01-01,15.1756,31,0.49,1,14.335,2018
"nc0392020","Feb",2018-02-01,15.4448,28,0.55,2,14.593,2018
"nc0392020","Mar",2018-03-01,16.1103,31,0.52,3,15.482,2018
"nc0392020","Apr",2018-04-01,17.3946,30,0.58,4,16.273,2018
"nc0392020","May",2018-05-01,19.1158,31,0.62,5,18.082,2018
"nc0392020","Jun",2018-06-01,21.3998,30,0.71,6,20.019,2018
"nc0392020","Jul",2018-07-01,22.1498,31,0.71,7,20.651,2018
"nc0392020","Aug",2018-08-01,21.5222,31,0.69,8,19.931,2018
"nc0392020","Sep",2018-09-01,20.8231,30,0.69,9,19.413,2018
"nc0392020","Oct",2018-10-01,18.9587,31,0.61,10,18.17,2018
"nc0392020","Nov",2018-11-01,16.5655,30,0.55,11,15.905,2018
"nc0392020","Dec",2018-12-01,15.0859,31,0.49,12,14.411,2018
"nc0392020","Jan",2019-01-01,15.4678,31,0.5,1,14.335,2019
"nc0392020","Feb",2019-02-01,15.737,28,0.56,2,14.593,2019
"nc0392020","Mar",2019-03-01,16.4025,31,0.53,3,15.482,2019
"nc0392020","Apr",2019-04-01,17.6868,30,0.59,4,16.273,2019
"nc0392020","May",2019-05-01,19.408,31,0.63,5,18.082,2019
"nc0392020","Jun",2019-06-01,21.692,30,0.72,6,20.019,2019
"nc0392020","Jul",2019-07-01,22.442,31,0.72,7,20.651,2019
"nc0392020","Aug",2019-08-01,21.8144,31,0.7,8,19.931,2019
"nc0392020","Sep",2019-09-01,21.1153,30,0.7,9,19.413,2019
"nc0392020","Oct",2019-10-01,19.2509,31,0.62,10,18.17,2019
"nc0392020","Nov",2019-11-01,16.8577,30,0.56,11,15.905,2019
"nc0392020","Dec",2019-12-01,15.3781,31,0.5,12,14.411,2019
"nc0392020","Jan",2020-01-01,15.76,31,0.51,1,14.335,2020
"nc0392020","Feb",2020-02-01,16.0292,29,0.55,2,14.593,2020
"nc0392020","Mar",2020-03-01,16.6947,31,0.54,3,15.482,2020
"nc0392020","Apr",2020-04-01,17.979,30,0.6,4,16.273,2020
"nc0392020","May",2020-05-01,19.7002,31,0.64,5,18.082,2020
"nc0392020","Jun",2020-06-01,21.9842,30,0.73,6,20.019,2020
"nc0392020","Jul",2020-07-01,22.7342,31,0.73,7,20.651,2020
"nc0392020","Aug",2020-08-01,22.1065,31,0.71,8,19.931,2020
"nc0392020","Sep",2020-09-01,21.4075,30,0.71,9,19.413,2020
"nc0392020","Oct",2020-10-01,19.5431,31,0.63,10,18.17,2020
