"site","year","medianDepth","nobsv"
"355944079013401",2013,42.26,159
"355944079013401",2014,40.13,365
"355944079013401",2015,40.29,365
"355944079013401",2016,38.4,366
"355944079013401",2017,39.23,365
"355944079013401",2018,41.81,365
"355944079013401",2019,36.4,365
"355944079013401",2020,37.57,366
"355944079013401",2021,34.88,204
"B39X1",2010,24.37,2
"B39X1",2011,22.545,318
"B39X1",2012,23.095,366
"B39X1",2013,21.305,364
"B39X1",2014,19.53,345
"B39X1",2015,18.325,364
"B39X1",2016,17.72,366
"B39X1",2017,19.795,365
"B39X1",2018,22.485,365
"B39X1",2019,19.448,365
"B39X1",2020,20.803,309
"B39X1",2021,16.244,151
"B39X2",2010,12.71,1
"B39X2",2011,12.56,2
"B39X2",2012,10.58,4
"B39X2",2013,8.915,4
"B39X2",2014,7.265,4
"B39X2",2015,5.03,5
"B39X2",2016,4.35,6
"B39X2",2017,9.22,4
"B39X2",2018,10.215,4
"B39X2",2019,7.085,4
"B39X2",2020,9.785,4
"B39X2",2021,3.135,4
"E38F1",1990,6.025,8
"E38F1",1991,5.8,3
"E38F1",2001,7.905,4
"E38F1",2002,8.27,7
"E38F1",2003,5.355,164
"E38F1",2004,5.82,332
"E38F1",2005,6.65,365
"E38F1",2006,6.52,287
"E38F1",2007,7.17,365
"E38F1",2008,8.875,366
"E38F1",2009,7.01,365
"E38F1",2010,7.92,365
"E38F1",2011,9.205,314
"E38F1",2012,10.93,315
"E38F1",2013,8.84,365
"E38F1",2014,8,365
"E38F1",2015,7.025,344
"E38F1",2016,5.8285,354
"E38F1",2017,7.595,365
"E38F1",2018,7.416,365
"E38F1",2019,6.193,365
"E38F1",2020,5.917,309
"E38F1",2021,4.25,151
"F43X1",1990,17.8,7
"F43X1",1991,18.1,3
"F43X1",2006,16.82,21
"F43X1",2007,20.35,365
"F43X1",2008,17.785,366
"F43X1",2009,16.61,365
"F43X1",2010,17.53,271
"F43X1",2011,19.269,233
"F43X1",2012,17.241,333
"F43X1",2013,16.345,365
"F43X1",2014,17.923,365
"F43X1",2015,16.285,365
"F43X1",2016,16.307,366
"F43X1",2017,17.178,365
"F43X1",2018,15.998,365
"F43X1",2019,18.058,365
"F43X1",2020,16.3915,366
"F43X1",2021,15.541,153
"I35K2",2005,10.175,2
"I35K2",2006,9.285,184
"I35K2",2007,10.43,287
"I35K2",2008,10.54,366
"I35K2",2009,9.23,365
"I35K2",2010,10.185,272
"I35K2",2011,10.03,365
"I35K2",2012,9.72,309
"I35K2",2013,8.85,365
"I35K2",2014,7.96,339
"I35K2",2015,8.63,219
"I35K2",2016,7.7345,354
"I35K2",2017,9.687,365
"I35K2",2018,9.397,365
"I35K2",2019,7.699,365
"I35K2",2020,7.42,335
"I35K2",2021,7.391,151
"J44D1",2013,43.775,10
"J44D1",2014,41.87,4
"J44D1",2015,40.332,53
"J44D1",2016,36.9195,366
"J44D1",2017,39.632,365
"J44D1",2018,41.443,333
"J44D1",2019,35.843,350
"J44D1",2020,38.4305,366
"J44D1",2021,36.4325,204
"M53L1",1990,22.77,8
"M53L1",1991,22.2,1
"M53L1",1998,28.25,1
"M53L1",1999,29.94,11
"M53L1",2000,26.26,136
"M53L1",2001,34.54,142
"M53L1",2002,34.74,205
"M53L1",2003,27.72,365
"M53L1",2004,30.09,278
"M53L1",2005,30.81,344
"M53L1",2006,32.17,365
"M53L1",2007,31.53,365
"M53L1",2008,35.49,366
"M53L1",2009,34.28,365
"M53L1",2010,33.775,312
"M53L1",2011,37.95,295
"M53L1",2012,36.64,366
"M53L1",2013,34.892,365
"M53L1",2014,33.97,365
"M53L1",2015,35.035,365
"M53L1",2016,31.1175,366
"M53L1",2017,33.864,351
"M53L1",2018,34.9775,310
"M53L1",2019,29.234,365
"M53L1",2020,28.839,366
"M53L1",2021,25.092,118
"N41G3",1990,21.65,7
"N41G3",1991,21.2,3
"N41G3",2001,18.13,97
"N41G3",2002,19.96,75
"N41G3",2003,17.82,365
"N41G3",2004,18.53,290
"N41G3",2005,19.92,365
"N41G3",2006,19.4,313
"N41G3",2007,23.57,225
"N41G3",2008,21.71,365
"N41G3",2009,20.73,297
"N41G3",2010,20.445,234
"N41G3",2011,24.47,299
"N41G3",2012,25,289
"N41G3",2013,21.21,365
"N41G3",2014,19.67,313
"N41G3",2015,19.48,339
"N41G3",2016,19.042,366
"N41G3",2017,21.211,365
"N41G3",2018,19.351,365
"N41G3",2019,19.711,280
"N41G3",2020,18.0255,44
"N46H1",2013,15.729,201
"N46H1",2014,15.545,365
"N46H1",2015,15.449,365
"N46H1",2016,15.3365,366
"N46H1",2017,15.936,283
"N46H1",2018,15.232,365
"N46H1",2019,15.1175,358
"N46H1",2020,14.861,366
"N46H1",2021,14.2345,106
"P51O1",2013,30.16,89
"P51O1",2014,24.635,218
"P51O1",2015,24.95,345
"P51O1",2016,26.097,366
"P51O1",2017,29.4005,364
"P51O1",2018,22.38,365
"P51O1",2019,24.41,365
"P51O1",2020,21.086,329
"P51O1",2021,21.4205,80
"Q51N1",2013,32.835,12
"Q51N1",2014,31.48,261
"Q51N1",2015,31.49,332
"Q51N1",2016,29.742,366
"Q51N1",2017,33.929,365
"Q51N1",2018,36.207,365
"Q51N1",2019,26.186,365
"Q51N1",2020,31.6945,302
"Q51N1",2021,27.7225,80
"R47Q2",2000,100.9,4
"R47Q2",2001,102.395,4
"R47Q2",2002,102.545,4
"R47Q2",2003,101.205,4
"R47Q2",2004,100.995,4
"R47Q2",2005,100.99,4
"R47Q2",2006,101.945,4
"R47Q2",2007,102.35,4
"R47Q2",2008,103.505,4
"R47Q2",2009,102.63,4
"R47Q2",2010,102.77,4
"R47Q2",2011,103.505,4
"R47Q2",2012,103.19,4
"R47Q2",2013,101.99,4
"R47Q2",2014,101.925,4
"R47Q2",2015,102.85,4
"R47Q2",2016,103.185,4
"R47Q2",2017,103.665,4
"R47Q2",2018,102.955,4
"R47Q2",2019,102.17,4
"R47Q2",2020,101.575,4
"R47Q2",2021,100.425,2
"R47Q3",2000,17.125,4
"R47Q3",2001,19.195,4
"R47Q3",2002,18.405,4
"R47Q3",2003,13.645,4
"R47Q3",2004,15.885,4
"R47Q3",2005,16.71,4
"R47Q3",2006,16.395,4
"R47Q3",2007,15.895,4
"R47Q3",2008,17.055,4
"R47Q3",2009,16.945,4
"R47Q3",2010,16.575,4
"R47Q3",2011,20.24,4
"R47Q3",2012,19.245,4
"R47Q3",2013,16.86,4
"R47Q3",2014,16.16,4
"R47Q3",2015,14.435,4
"R47Q3",2016,13.99,4
"R47Q3",2017,17.255,4
"R47Q3",2018,15.22,4
"R47Q3",2019,13.41,4
"R47Q3",2020,15.085,4
"R47Q3",2021,12.74,2
"R47Q4",2000,20.535,4
"R47Q4",2001,21.72,4
"R47Q4",2002,20.825,4
"R47Q4",2003,16.085,4
"R47Q4",2004,18.455,4
"R47Q4",2005,19.79,4
"R47Q4",2006,19.045,4
"R47Q4",2007,19.385,4
"R47Q4",2008,19.775,4
"R47Q4",2009,19.42,4
"R47Q4",2010,19.21,4
"R47Q4",2011,22.68,4
"R47Q4",2012,22.55,4
"R47Q4",2013,20.065,4
"R47Q4",2014,19.435,4
"R47Q4",2015,18.06,4
"R47Q4",2016,16.89,4
"R47Q4",2017,20.275,4
"R47Q4",2018,19.385,4
"R47Q4",2019,17.675,4
"R47Q4",2020,17.77,4
"R47Q4",2021,15.95,2
"R48G1",1999,47.85,1
"R48G1",2000,51.85,4
"R48G1",2001,51.47,3
"R48G1",2002,51,3
"R48G1",2003,47.86,289
"R48G1",2004,45.86,366
"R48G1",2005,45.88,365
"R48G1",2006,46.9,365
"R48G1",2007,47.56,291
"R48G1",2008,47.15,366
"R48G1",2009,45.84,365
"R48G1",2010,47.12,364
"R48G1",2011,47.005,314
"R48G1",2012,50.251,249
"R48G1",2013,47.89,365
"R48G1",2014,46.457,365
"R48G1",2015,47.236,365
"R48G1",2016,46.6705,366
"R48G1",2017,47.926,365
"R48G1",2018,46.67,333
"R48G1",2019,45.229,365
"R48G1",2020,46.255,302
"R48G1",2021,41.435,94
"R48G2",1999,17.62,1
"R48G2",2000,10.225,4
"R48G2",2001,10.9,3
"R48G2",2002,10.12,3
"R48G2",2003,7.02,289
"R48G2",2004,9.23,358
"R48G2",2005,8.98,365
"R48G2",2006,8.345,326
"R48G2",2007,11.72,279
"R48G2",2008,8.49,365
"R48G2",2009,8.67,365
"R48G2",2010,10.08,364
"R48G2",2011,11.98,365
"R48G2",2012,10.65,366
"R48G2",2013,8.912,365
"R48G2",2014,8.74,365
"R48G2",2015,8.086,365
"R48G2",2016,9.588,366
"R48G2",2017,11.6395,364
"R48G2",2018,7.573,365
"R48G2",2019,10.035,364
"R48G2",2020,7.359,302
"R48G2",2021,7.863,94
"R48Y4",1999,80.79,1
"R48Y4",2000,81.455,4
"R48Y4",2001,82.085,4
"R48Y4",2002,83.12,3
"R48Y4",2003,82.37,4
"R48Y4",2004,78.43,5
"R48Y4",2005,81.595,4
"R48Y4",2006,81.905,4
"R48Y4",2007,80.04,4
"R48Y4",2008,82.015,4
"R48Y4",2009,81,143
"R48Y4",2010,80.84,364
"R48Y4",2011,81.63,365
"R48Y4",2012,82.86,228
"R48Y4",2013,82.7515,348
"R48Y4",2014,80.775,365
"R48Y4",2015,80.92,365
"R48Y4",2016,80.0365,366
"R48Y4",2017,80.556,365
"R48Y4",2018,81.88,365
"R48Y4",2019,78.947,365
"R48Y4",2020,80.055,212
"R48Y4",2021,79.262,84
"R49C3",1999,26.7,1
"R49C3",2000,24.79,4
"R49C3",2001,25.37,3
"R49C3",2002,27.865,2
"R49C3",2003,24.09,284
"R49C3",2004,24.98,366
"R49C3",2005,25.63,365
"R49C3",2006,24.46,365
"R49C3",2007,27.45,365
"R49C3",2008,25.1,185
"R49C3",2009,25.625,364
"R49C3",2010,25.685,364
"R49C3",2011,27.32,365
"R49C3",2012,26.605,366
"R49C3",2013,24.71,365
"R49C3",2014,24.35,254
"R49C3",2015,24.676,365
"R49C3",2016,24.987,366
"R49C3",2017,26.552,365
"R49C3",2018,24.947,365
"R49C3",2019,27.0705,268
"R49C3",2020,25.197,212
"R49C3",2021,23.1115,94
"S35Q5",1999,9.31,2
"S35Q5",2000,8.605,4
"S35Q5",2001,10.19,3
"S35Q5",2002,12.77,3
"S35Q5",2003,7.8,69
"S35Q5",2004,8.57,27
"S35Q5",2005,10.03,232
"S35Q5",2006,7.25,359
"S35Q5",2007,11.57,365
"S35Q5",2008,6.34,364
"S35Q5",2009,6.63,283
"S35Q5",2010,8.02,267
"S35Q5",2011,10.9,333
"S35Q5",2012,11.081,366
"S35Q5",2013,9.404,365
"S35Q5",2014,7.39,365
"S35Q5",2015,5.928,365
"S35Q5",2016,7.1,273
"S35Q5",2017,8.001,365
"S35Q5",2018,7.501,365
"S35Q5",2019,7.644,365
"S35Q5",2020,5.949,366
"S35Q5",2021,4.9645,158
"S35Q8",2006,24.075,4
"S35Q8",2007,24.685,4
"S35Q8",2008,23.55,4
"S35Q8",2009,23.14,192
"S35Q8",2010,22.055,354
"S35Q8",2011,22.205,352
"S35Q8",2012,24.588,366
"S35Q8",2013,24.777,365
"S35Q8",2014,23.627,365
"S35Q8",2015,22.856,365
"S35Q8",2016,22.469,360
"S35Q8",2017,23.4065,332
"S35Q8",2018,23.61,365
"S35Q8",2019,24.142,365
"S35Q8",2020,24.314,366
"S35Q8",2021,22.9145,158
"S35Q9",2006,103.76,4
"S35Q9",2007,105.375,4
"S35Q9",2008,105.67,4
"S35Q9",2009,106.26,192
"S35Q9",2010,102.69,359
"S35Q9",2011,104.61,353
"S35Q9",2012,104.358,366
"S35Q9",2013,105.482,365
"S35Q9",2014,105.005,365
"S35Q9",2015,105.739,365
"S35Q9",2016,106.018,364
"S35Q9",2017,108.476,338
"S35Q9",2018,114.674,279
"S35Q9",2019,114.383,365
"S35Q9",2020,111.525,366
"S35Q9",2021,106.35,158
"S48H2",1999,34.49,1
"S48H2",2000,31.685,4
"S48H2",2001,34.55,4
"S48H2",2002,36.7,3
"S48H2",2003,23.26,4
"S48H2",2004,28.99,4
"S48H2",2005,31.225,4
"S48H2",2006,28.87,4
"S48H2",2007,29.005,4
"S48H2",2008,33.42,4
"S48H2",2009,31.9,4
"S48H2",2010,29.645,4
"S48H2",2011,36.22,4
"S48H2",2012,37.65,303
"S48H2",2013,31.5385,364
"S48H2",2014,30.742,365
"S48H2",2015,30.365,365
"S48H2",2016,26.354,366
"S48H2",2017,31.777,365
"S48H2",2018,30.804,365
"S48H2",2019,28.132,363
"S48H2",2020,25.0445,324
"S48H2",2021,23.214,94
"S49D2",2000,62.07,3
"S49D2",2001,64.65,4
"S49D2",2002,67.28,3
"S49D2",2003,64.44,5
"S49D2",2004,61.03,4
"S49D2",2005,63.45,4
"S49D2",2006,65.08,4
"S49D2",2007,63.8,4
"S49D2",2008,65.625,4
"S49D2",2009,65.1,194
"S49D2",2010,64.715,364
"S49D2",2011,65.405,242
"S49D2",2012,69.39,308
"S49D2",2013,69.814,365
"S49D2",2014,65.559,365
"S49D2",2015,65.247,365
"S49D2",2016,62.745,366
"S49D2",2017,61.3205,198
"S49D2",2018,64.255,365
"S49D2",2019,59.838,365
"S49D2",2020,61.576,302
"S49D2",2021,58.534,80
"S50F4",1999,55.83,2
"S50F4",2000,55.98,4
"S50F4",2001,59.185,4
"S50F4",2002,61.625,4
"S50F4",2003,56.505,4
"S50F4",2004,54.01,4
"S50F4",2005,57.465,4
"S50F4",2006,60.1,4
"S50F4",2007,58.6,4
"S50F4",2008,60.51,4
"S50F4",2009,58.695,4
"S50F4",2010,59.39,4
"S50F4",2011,60.865,4
"S50F4",2012,63.69,4
"S50F4",2013,62.72,4
"S50F4",2014,56.855,4
"S50F4",2015,56.31,4
"S50F4",2016,54.57,4
"S50F4",2017,54.56,3
"S50F4",2018,58.71,4
"S50F4",2019,51.935,4
"S50F4",2020,55.375,4
"S50F4",2021,53.375,2
"S50F5",1999,18.69,2
"S50F5",2000,18.1,3
"S50F5",2001,20.005,4
"S50F5",2002,19.155,4
"S50F5",2003,16.015,4
"S50F5",2004,18.5,4
"S50F5",2005,19.905,4
"S50F5",2006,19.685,4
"S50F5",2007,19.13,4
"S50F5",2008,18.18,4
"S50F5",2009,19.065,4
"S50F5",2010,18.79,4
"S50F5",2011,20.79,4
"S50F5",2012,20.96,4
"S50F5",2013,18.905,4
"S50F5",2014,18.835,4
"S50F5",2015,19.415,4
"S50F5",2016,18.825,4
