"site","year","medianDepth","nobsv"
"S50F5",2017,18.96,3
"S50F5",2018,20.48,4
"S50F5",2019,17.545,4
"S50F5",2020,18.385,4
"S50F5",2021,16.825,2
"T48I2",1999,2.08,1
"T48I2",2000,1.07,4
"T48I2",2001,1.935,2
"T48I2",2002,3.86,3
"T48I2",2003,0.73,4
"T48I2",2004,0.515,4
"T48I2",2005,0.89,360
"T48I2",2006,1.82,365
"T48I2",2007,2.06,287
"T48I2",2008,2.25,269
"T48I2",2009,2.13,365
"T48I2",2010,2.39,365
"T48I2",2011,3.765,354
"T48I2",2012,4.765,366
"T48I2",2013,3.97,286
"T48I2",2014,3.09,356
"T48I2",2015,2.1,335
"T48I2",2016,1.0245,362
"T48I2",2017,0.59,365
"T48I2",2018,1.788,365
"T48I2",2019,0.6105,352
"T48I2",2020,0.1715,324
"T48I2",2021,-1.907,56
"U34B4",1996,35.46,1
"U34B4",1999,37.55,2
"U34B4",2000,36.085,4
"U34B4",2001,37.55,3
"U34B4",2002,39.91,3
"U34B4",2003,37.68,284
"U34B4",2004,38.2,366
"U34B4",2005,37.76,142
"U34B4",2006,38.9,4
"U34B4",2007,39.28,4
"U34B4",2008,39.26,4
"U34B4",2009,39.85,193
"U34B4",2010,38.94,365
"U34B4",2011,39.86,365
"U34B4",2012,39.9,366
"U34B4",2013,39.7,364
"U34B4",2014,39.679,365
"U34B4",2015,39.059,365
"U34B4",2016,37.6865,366
"U34B4",2017,38.329,365
"U34B4",2018,38.6,296
"U34B4",2019,38.389,365
"U34B4",2020,37.489,366
"U34B4",2021,36.226,81
"U34B6",1996,38.02,1
"U34B6",1999,39.735,2
"U34B6",2000,38.965,4
"U34B6",2001,39.61,3
"U34B6",2002,41.95,3
"U34B6",2003,39.67,284
"U34B6",2004,40.135,366
"U34B6",2005,39.755,142
"U34B6",2006,40.275,4
"U34B6",2007,41.16,4
"U34B6",2008,41.145,4
"U34B6",2009,41.87,193
"U34B6",2010,40.845,364
"U34B6",2011,41.81,365
"U34B6",2012,42.03,282
"U34B6",2013,41.42,364
"U34B6",2014,41.4915,364
"U34B6",2015,40.9,365
"U34B6",2016,39.543,366
"U34B6",2017,40.211,365
"U34B6",2018,40.294,365
"U34B6",2019,40.067,288
"U34B6",2020,39.224,325
"U34B6",2021,38.14,75
"U35I1",2019,11.542,225
"U35I1",2020,10.7295,366
"U35I1",2021,8.501,116
"U35I2",2019,123.3995,226
"U35I2",2020,121.747,366
"U35I2",2021,121.7325,116
"U35I3",2019,123.774,225
"U35I3",2020,122.54,366
"U35I3",2021,121.9495,116
"U35I4",2019,46.135,225
"U35I4",2020,44.851,366
"U35I4",2021,43.767,116
"U35I5",2019,119.717,225
"U35I5",2020,118.617,366
"U35I5",2021,117.584,116
"U35I6",2019,57.661,226
"U35I6",2020,56.3755,276
"U35I6",2021,55.5675,116
"U40Y1",2004,80.01,212
"U40Y1",2005,80.35,365
"U40Y1",2006,81.41,365
"U40Y1",2007,81.5,333
"U40Y1",2008,81.63,358
"U40Y1",2009,81.35,330
"U40Y1",2010,82.8,365
"U40Y1",2011,82.77,304
"U40Y1",2012,86.4995,330
"U40Y1",2013,87.68,365
"U40Y1",2014,89.672,365
"U40Y1",2015,92.537,365
"U40Y1",2016,93.438,225
"U40Y1",2017,95.442,309
"U40Y1",2018,96.437,365
"U40Y1",2019,98.266,365
"U40Y1",2020,100.286,366
"U40Y1",2021,103.3475,116
"U40Y2",2004,42.04,212
"U40Y2",2005,42.45,365
"U40Y2",2006,43,365
"U40Y2",2007,43.65,333
"U40Y2",2008,43.94,357
"U40Y2",2009,44.34,365
"U40Y2",2010,44.84,355
"U40Y2",2011,45.445,290
"U40Y2",2012,46.54,326
"U40Y2",2013,47.003,365
"U40Y2",2014,47.357,365
"U40Y2",2015,47.666,365
"U40Y2",2016,47.993,366
"U40Y2",2017,48.4545,302
"U40Y2",2018,49.22,365
"U40Y2",2019,49.7,365
"U40Y2",2020,49.976,366
"U40Y2",2021,49.919,116
"U40Y3",2004,21.33,209
"U40Y3",2005,22.02,365
"U40Y3",2006,21.43,305
"U40Y3",2007,23.82,303
"U40Y3",2008,21.38,366
"U40Y3",2009,21.28,235
"U40Y3",2010,22.275,4
"U40Y3",2011,25.5,360
"U40Y3",2012,25.8,366
"U40Y3",2013,23.701,365
"U40Y3",2014,22.595,365
"U40Y3",2015,21.256,365
"U40Y3",2016,19.9665,366
"U40Y3",2017,21.183,365
"U40Y3",2018,22.311,263
"U40Y3",2019,22.4015,354
"U40Y3",2020,20.277,277
"U40Y3",2021,18.848,116
"U40Y4",2004,3.05,209
"U40Y4",2005,3.7,365
"U40Y4",2006,3.125,362
"U40Y4",2007,4.95,333
"U40Y4",2008,2.985,366
"U40Y4",2009,2.97,218
"U40Y4",2010,4.105,332
"U40Y4",2011,5.74,365
"U40Y4",2012,6.5,359
"U40Y4",2013,4.553,365
"U40Y4",2014,3.873,365
"U40Y4",2015,2.96,365
"U40Y4",2016,2.745,366
"U40Y4",2017,3.439,326
"U40Y4",2018,4.156,339
"U40Y4",2019,4.152,338
"U40Y4",2020,2.5325,366
"U40Y4",2021,1.9135,116
"U41A1",2001,8.935,2
"U41A1",2002,8.25,77
"U41A1",2003,7.5,39
"U41A1",2004,8.22,92
"U41A1",2005,8.03,231
"U41A1",2006,7.685,200
"U41A1",2007,9,365
"U41A1",2008,7.855,366
"U41A1",2009,8,365
"U41A1",2010,8.654,276
"U41A1",2011,10.034,364
"U41A1",2012,9.634,303
"U41A1",2013,8.138,365
"U41A1",2014,8.328,365
"U41A1",2015,7.192,365
"U41A1",2016,6.8705,366
"U41A1",2017,7.535,365
"U41A1",2018,7.945,345
"U41A1",2019,8.193,365
"U41A1",2020,6.9755,366
"U41A1",2021,6.3315,158
"U46E6",2000,36.29,4
"U46E6",2001,37.66,2
"U46E6",2002,41.22,3
"U46E6",2003,36.235,4
"U46E6",2004,35.7,7
"U46E6",2005,36.67,319
"U46E6",2006,37.26,365
"U46E6",2007,37.93,365
"U46E6",2008,40.515,366
"U46E6",2009,39.08,365
"U46E6",2010,38.09,199
"U46E6",2011,38.97,365
"U46E6",2012,38.95,366
"U46E6",2013,37.22,365
"U46E6",2014,35.82,365
"U46E6",2015,35.216,365
"U46E6",2016,34.0655,366
"U46E6",2017,34.456,365
"U46E6",2018,35.63,365
"U46E6",2019,34.218,365
"U46E6",2020,33.971,322
"U46E6",2021,31.248,93
"V35T3",2000,1.71,1
"V35T3",2001,1.9,2
"V35T3",2002,2.645,2
"V35T3",2003,1.405,2
"V35T3",2004,1.285,4
"V35T3",2005,0.825,4
"V35T3",2006,0.315,4
"V35T3",2007,0.78,4
"V35T3",2008,0.635,4
"V35T3",2009,0.795,4
"V35T3",2010,0.655,4
"V35T3",2011,0.805,4
"V35T3",2012,0.815,4
"V35T3",2013,0.855,4
"V35T3",2014,0.605,4
"V35T3",2015,0.375,4
"V35T3",2016,0.55,4
"V35T3",2017,1.805,4
"V35T3",2018,1.505,4
"V35T3",2019,1.03,3
"V35T3",2020,1.49,3
"V35T3",2021,1.13,2
"V35T4",2000,-5.26,2
"V35T4",2001,-6.02,2
"V35T4",2002,-5.76,3
"V35T4",2003,-6.45,3
"V35T4",2004,-6.46,5
"V35T4",2005,-6.095,4
"V35T4",2006,-6.44,5
"V35T4",2007,-6.585,4
"V35T4",2008,-5.71,4
"V35T4",2009,-5.805,4
"V35T4",2010,-6.48,5
"V35T4",2011,-5.745,4
"V35T4",2012,-6.015,4
"V35T4",2013,-6.37,4
"V35T4",2014,-6.46,4
"V35T4",2015,-6.67,4
"V35T4",2016,-6.475,4
"V35T4",2017,-6.095,4
"V35T4",2018,-5.145,4
"V35T4",2019,-5.25,4
"V35T4",2020,-3.85,4
"V35T4",2021,-4.15,2
"V35T5",2000,-3.03,1
"V35T5",2001,-2.23,1
"V35T5",2002,-1.39,3
"V35T5",2003,-3.28,2
"V35T5",2004,-2.34,4
"V35T5",2005,-1.9,4
"V35T5",2006,-3.51,5
"V35T5",2007,-2.67,4
"V35T5",2008,-2.485,4
"V35T5",2009,-1.635,4
"V35T5",2010,-3.15,5
"V35T5",2011,-2.335,4
"V35T5",2012,-2.19,4
"V35T5",2013,-2.71,4
"V35T5",2014,-3.18,4
"V35T5",2015,-3.84,4
"V35T5",2016,-3.745,4
"V35T5",2017,-2.775,4
"V35T5",2018,-2.22,4
"V35T5",2019,-2.81,4
"V35T5",2020,-2.525,4
"V35T5",2021,-3.245,2
"V35T6",2000,-5.84,2
"V35T6",2001,-5.655,2
"V35T6",2002,-4.09,3
"V35T6",2003,-4.615,2
"V35T6",2004,-5.47,5
"V35T6",2005,-5.6,4
"V35T6",2006,-6.16,5
"V35T6",2007,-5.59,4
"V35T6",2008,-5.005,4
"V35T6",2009,-5.58,4
"V35T6",2010,-5.69,5
"V35T6",2011,-5.145,4
"V35T6",2012,-4.51,4
"V35T6",2013,-5.7,4
"V35T6",2014,-6.02,4
"V35T6",2015,-6.19,4
"V35T6",2016,-6.505,4
"V35T6",2017,-5.5,4
"V35T6",2018,-4.735,4
"V35T6",2019,-5.19,4
"V35T6",2020,-4.675,4
"V35T6",2021,-6.03,2
"V35T7",2000,-4.46,1
"V35T7",2001,-3.805,2
"V35T7",2002,-2.72,3
"V35T7",2003,-4.42,2
"V35T7",2004,-3.695,4
"V35T7",2005,-4.015,4
"V35T7",2006,-4.625,4
"V35T7",2007,-4.535,4
"V35T7",2008,-3.735,4
"V35T7",2009,-3.085,4
"V35T7",2010,-4.25,5
"V35T7",2011,-3.825,4
"V35T7",2012,-3.505,4
"V35T7",2013,-4.61,4
"V35T7",2014,-4.935,4
"V35T7",2015,-5.015,4
"V35T7",2016,-5.51,4
"V35T7",2017,-4.47,4
"V35T7",2018,-3.485,4
"V35T7",2019,-3.31,3
"V35T7",2020,-3.6,4
"V35T7",2021,-4.95,2
"V35T8",2000,-3.735,2
"V35T8",2001,-3.565,2
"V35T8",2002,-3.39,3
"V35T8",2003,-3.89,2
"V35T8",2004,-3.16,4
"V35T8",2005,-3.895,4
"V35T8",2006,-4.4,5
"V35T8",2007,-4.205,4
"V35T8",2008,-3.435,4
"V35T8",2009,-3.145,4
"V35T8",2010,-4.39,4
"V35T8",2011,-3.85,4
"V35T8",2012,-3.05,4
"V35T8",2013,-3.94,4
"V35T8",2014,-4.295,4
"V35T8",2015,-4.1,4
"V35T8",2016,-4.655,4
"V35T8",2017,-3.885,4
"V35T8",2018,-3.4,4
"V35T8",2019,-3.71,4
"V35T8",2020,-3.67,4
"V35T8",2021,-4.545,2
"V39O1",2004,48.97,222
"V39O1",2005,49.56,365
"V39O1",2006,50.68,365
"V39O1",2007,51.98,365
"V39O1",2008,53.05,366
"V39O1",2009,54.05,365
"V39O1",2010,54.39,365
"V39O1",2011,56.183,365
"V39O1",2012,56.897,366
"V39O1",2013,57.524,365
"V39O1",2014,58.5655,276
"V39O1",2015,59.055,365
"V39O1",2016,59.514,364
"V39O1",2017,60.278,365
"V39O1",2018,60.649,365
"V39O1",2019,61.338,365
"V39O1",2020,61.49225,366
"V39O1",2021,61.673,116
"V39O2",2004,5.61,227
"V39O2",2005,6.51,361
"V39O2",2006,5.81,305
"V39O2",2007,6.91,335
"V39O2",2008,4.435,366
"V39O2",2009,4.55,365
"V39O2",2010,4.52,275
"V39O2",2011,8.733,353
"V39O2",2012,8.7925,366
"V39O2",2013,7.467,365
"V39O2",2014,5.516,365
"V39O2",2015,4.031,365
"V39O2",2016,2.484,365
"V39O2",2017,5.061,365
"V39O2",2018,5.701,365
"V39O2",2019,5.622,254
"V39O2",2020,2.5675,366
"V39O2",2021,0.3335,116
"V39O3",2004,6.31,227
"V39O3",2005,6.855,330
"V39O3",2006,6.12,189
"V39O3",2007,6.29,365
"V39O3",2008,5.52,366
"V39O3",2009,5.51,331
"V39O3",2010,6.08,4
"V39O3",2011,8.851,353
"V39O3",2012,8.5345,366
"V39O3",2013,7.36,365
"V39O3",2014,6.146,365
"V39O3",2015,5.164,365
"V39O3",2016,4.232,365
"V39O3",2017,5.88,365
"V39O3",2018,6.038,365
"V39O3",2019,4.699,318
"V39O3",2020,17.22,366
"V39O3",2021,16.69875,116
"Y34P2",1996,-1,1
"Y34P2",1999,-2.29,1
"Y34P2",2000,-1.945,4
"Y34P2",2001,-2.35,3
"Y34P2",2002,-0.62,3
"Y34P2",2003,-2.05,3
"Y34P2",2004,-2.075,248
"Y34P2",2005,-2.04,365
"Y34P2",2006,-2.06,365
"Y34P2",2007,-1.03,365
"Y34P2",2008,-0.97,366
"Y34P2",2009,-1.37,365
"Y34P2",2010,-0.99,314
"Y34P2",2011,0.495,364
"Y34P2",2012,-0.23,365
"Y34P2",2013,-0.873,365
"Y34P2",2014,-0.773,365
"Y34P2",2015,-1.047,261
"Y34P2",2016,-1.297,366
"Y34P2",2017,-0.243,227
"Y34P2",2018,-0.3275,362
"Y34P2",2019,0.112,365
"Y34P2",2020,-0.748,366
"Y34P2",2021,-1.484,131
"Y34P3",1996,12.89,1
"Y34P3",1999,12.55,2
"Y34P3",2000,13.32,4
"Y34P3",2001,14.56,3
"Y34P3",2002,15,4
"Y34P3",2003,12.52,3
"Y34P3",2004,13.86,255
"Y34P3",2005,13.55,365
"Y34P3",2006,13.41,365
"Y34P3",2007,15.14,365
"Y34P3",2008,13.285,366
"Y34P3",2009,13.44,365
"Y34P3",2010,13.73,365
"Y34P3",2011,14.32,365
"Y34P3",2012,14.3725,366
"Y34P3",2013,13.724,365
"Y34P3",2014,13.303,365
"Y34P3",2015,13.059,261
"Y34P3",2016,12.782,365
"Y34P3",2017,13.5,365
"Y34P3",2018,12.909,346
"Y34P3",2019,12.883,365
"Y34P3",2020,12.1085,366
"Y34P3",2021,10.823,49
"Y34P4",2000,-2.87,1
"Y34P4",2001,-3.075,2
"Y34P4",2002,-2.54,3
"Y34P4",2003,-2.75,3
"Y34P4",2004,-2.85,6
"Y34P4",2005,-2.91,4
"Y34P4",2006,-3.235,4
"Y34P4",2007,-3.405,4
"Y34P4",2008,-2.2,4
"Y34P4",2009,-2.17,4
"Y34P4",2010,-2.47,4
"Y34P4",2011,-2.52,4
"Y34P4",2012,-2.185,7
"Y34P4",2013,-2.34,4
"Y34P4",2014,-1.955,4
"Y34P4",2015,-2.07,4
"Y34P4",2016,-2.13,5
"Y34P4",2017,-2.135,4
"Y34P4",2018,-2.145,4
"Y34P4",2019,-2.76,5
"Y34P4",2020,-2.18,3
"Y34P4",2021,-2.64,4
"Y34P7",2012,2.548,71
"Y34P7",2013,1.421,365
"Y34P7",2014,1.673,365
"Y34P7",2015,1.039,261
"Y34P7",2016,1.001,306
"Y34P7",2017,2.0975,292
"Y34P7",2018,1.4275,362
"Y34P7",2019,1.917,365
"Y34P7",2020,0.8015,302
"Y34P7",2021,-0.0180000000000001,86
"Y34P9",2013,-2.103,287
"Y34P9",2014,-2.376,365
"Y34P9",2015,-2.472,261
"Y34P9",2016,-2.757,364
"Y34P9",2017,-1.661,365
"Y34P9",2018,-2.0725,362
"Y34P9",2019,-1.973,365
"Y34P9",2020,-2.2585,366
"Y34P9",2021,-3.01,131
